compra,venda,data
"3,1197","3,1203",05/09/2017
compra,venda,data
"3,1197","3,1203",05/09/2017
compra,venda,data
"3,1197","3,1203",05/09/2017
compra,venda,data
"3,1197","3,1203",05/09/2017
compra,venda,data
"3,1127","3,1133",06/09/2017
compra,venda,data
"3,0846","3,0852",11/09/2017
compra,venda,data
"3,1138","3,1144",12/09/2017
compra,venda,data
"3,1337","3,1343",13/09/2017
compra,venda,data
"3,1348","3,1354",14/09/2017
compra,venda,data
"3,1249","3,1255",15/09/2017
compra,venda,data
"3,1233","3,1239",18/09/2017
compra,venda,data
"3,1317","3,1323",19/09/2017
compra,venda,data
"3,1275","3,1281",20/09/2017
compra,venda,data
"3,1341","3,1347",21/09/2017
compra,venda,data
"3,1279","3,1285",22/09/2017
compra,venda,data
"3,1279","3,1285",22/09/2017
compra,venda,data
"3,1279","3,1285",22/09/2017
compra,venda,data
"3,1406","3,1412",25/09/2017
compra,venda,data
"3,1668","3,1674",26/09/2017
compra,venda,data
"3,1926","3,1932",27/09/2017
compra,venda,data
"3,1865","3,1871",28/09/2017
compra,venda,data
"3,1674","3,1680",29/09/2017
compra,venda,data
"3,1674","3,1680",29/09/2017
compra,venda,data
"3,1674","3,1680",29/09/2017
compra,venda,data
"3,1636","3,1642",02/10/2017
compra,venda,data
"3,1496","3,1502",03/10/2017
compra,venda,data
"3,1309","3,1315",04/10/2017
compra,venda,data
"3,1341","3,1347",05/10/2017
compra,venda,data
"3,1642","3,1648",06/10/2017
compra,venda,data
"3,1642","3,1648",06/10/2017
compra,venda,data
"3,1642","3,1648",06/10/2017
compra,venda,data
"3,1764","3,1770",09/10/2017
compra,venda,data
"3,1682","3,1688",10/10/2017
compra,venda,data
"3,1633","3,1639",11/10/2017
compra,venda,data
"3,1633","3,1639",11/10/2017
compra,venda,data
"3,1567","3,1572",13/10/2017
compra,venda,data
"3,1567","3,1572",13/10/2017
compra,venda,data
"3,1567","3,1572",13/10/2017
compra,venda,data
"3,1601","3,1607",16/10/2017
compra,venda,data
"3,1763","3,1769",17/10/2017
compra,venda,data
"3,1667","3,1673",18/10/2017
